"filename", "language", "SCSS", "HTML", "TypeScript", "comment", "blank", "total"
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\dashboard\dashboard.component.ts", "TypeScript", 0, 0, 277, 26, 78, 381
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\main-map-manager\context-menu-map\context-menu-map.component.html", "HTML", 0, 24, 0, 0, 1, 25
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\main-map-manager\context-menu-map\context-menu-map.component.scss", "SCSS", 21, 0, 0, 0, 4, 25
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\main-map-manager\context-menu-map\context-menu-map.component.ts", "TypeScript", 0, 0, 55, 0, 8, 63
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\main-map-manager\main-map-manager.component.html", "HTML", 0, 163, 0, 0, 3, 166
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\main-map-manager\main-map-manager.component.scss", "SCSS", 131, 0, 0, 0, 12, 143
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\main-map-manager\main-map-manager.component.ts", "TypeScript", 0, 0, 169, 0, 14, 183
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\main-map-manager\map\map.component.html", "HTML", 0, 54, 0, 0, 1, 55
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\main-map-manager\map\map.component.scss", "SCSS", 150, 0, 0, 0, 14, 164
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\main-map-manager\map\map.component.ts", "TypeScript", 0, 0, 135, 0, 10, 145
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\profile\client-central\client-central.component.html", "HTML", 0, 13, 0, 0, 1, 14
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\profile\client-central\client-central.component.scss", "SCSS", 52, 0, 0, 0, 6, 58
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\profile\client-central\client-central.component.ts", "TypeScript", 0, 0, 76, 0, 6, 82
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\profile\manage-centrals\manage-centrals.component.html", "HTML", 0, 112, 0, 0, 1, 113
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\profile\manage-centrals\manage-centrals.component.scss", "SCSS", 39, 0, 0, 0, 6, 45
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\profile\manage-centrals\manage-centrals.component.ts", "TypeScript", 0, 0, 82, 0, 16, 98
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\profile\profile.component.html", "HTML", 0, 34, 0, 0, 1, 35
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\profile\profile.component.scss", "SCSS", 110, 0, 0, 0, 8, 118
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\profile\profile.component.ts", "TypeScript", 0, 0, 54, 0, 5, 59
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\mision-bot\dashboard-mision-bot\activate\activate.component.html", "HTML", 0, 22, 0, 0, 2, 24
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\mision-bot\dashboard-mision-bot\activate\activate.component.scss", "SCSS", 12, 0, 0, 0, 2, 14
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\mision-bot\dashboard-mision-bot\activate\activate.component.ts", "TypeScript", 0, 0, 31, 2, 5, 38
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\mision-bot\dashboard-mision-bot\dashboard-mision-bot.component.html", "HTML", 0, 28, 0, 0, 1, 29
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\mision-bot\dashboard-mision-bot\dashboard-mision-bot.component.scss", "SCSS", 12, 0, 0, 0, 2, 14
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\mision-bot\dashboard-mision-bot\dashboard-mision-bot.component.ts", "TypeScript", 0, 0, 116, 2, 8, 126
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\mision-bot\history-mision-bot\history-mision-bot.component.html", "HTML", 0, 46, 0, 0, 1, 47
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\mision-bot\history-mision-bot\history-mision-bot.component.scss", "SCSS", 10, 0, 0, 0, 3, 13
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\mision-bot\history-mision-bot\history-mision-bot.component.ts", "TypeScript", 0, 0, 34, 0, 6, 40
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\mision-bot\mision-bot-config\advisers-list\advisers-list.component.html", "HTML", 0, 19, 0, 0, 1, 20
